	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	61	9	80	79	2	1	49193	24	1	12.9202	 	0	0
DL	62	0	8	39	2	1	33979	18	0	12.9202	 	0	8.02129e-06
DL	62	0	47	46	2	1	57894	22	1	17.6462	 	0	0
DL	62	1	9	99	2	1	20727	18	0	17.6462	 	0	0
UL	62	2	13	1	1	1	1640	26	0	21.3286 	0	1.24059e-09
DL	62	2	15	9	2	1	7837	18	0	13.2074	 	0	2.04541e-10
DL	62	2	24	23	2	1	28945	22	1	13.2074	 	0	0
DL	62	2	47	90	2	1	12884	18	0	13.2074	 	0	2.7892e-10
UL	62	3	7	1	1	1	1640	26	0	20.4899 	0	2.95618e-06
DL	62	3	8	1	2	1	1254	22	1	13.2074	 	0	0
DL	62	3	10	33	2	1	28751	18	0	13.2074	 	0	7.06598e-10
DL	62	4	7	20	2	1	29043	24	0	17.5858	 	0	0.0523357
UL	62	5	8	1	1	1	1640	26	0	19.1857 	0	0.00181855
DL	62	5	9	1	2	1	1449	24	0	10.4375	 	1	1
UL	62	6	7	1	1	1	1640	26	0	21.5573 	0	0
DL	62	6	9	89	2	1	12012	18	0	17.5955	 	0	0
DL	62	7	7	85	2	1	8528	18	0	17.5955	 	0	0
UL	62	8	13	1	1	1	1640	26	0	21.1565 	0	4.56476e-09
DL	62	8	14	50	2	1	7076	24	0	10.0005	 	1	1
UL	62	9	7	1	1	1	1640	26	0	20.271 	0	3.68201e-06
DL	62	9	8	1	2	1	1449	24	1	10.0005	 	0	0
DL	62	9	10	94	2	1	7267	16	0	10.0005	 	1	0.69985
DL	63	0	8	50	2	1	7076	24	0	17.7082	 	0	3.05252e-10
UL	63	1	6	1	1	1	1776	28	0	20.7227 	1	1
DL	63	1	7	46	2	1	1265	24	0	17.7082	 	0	6.10505e-11
UL	63	2	7	1	1	1	1776	28	0	20.2655 	1	1
DL	63	2	8	43	2	1	26641	14	0	12.0521	 	0	0
DL	63	2	51	50	2	1	7076	24	1	12.0521	 	0	0
DL	63	3	8	87	2	1	53904	14	0	17.5906	 	0	0
DL	63	3	95	94	2	1	7267	16	1	17.5906	 	0	0
UL	63	4	7	1	1	1	1640	26	0	21.1466 	0	4.20543e-09
DL	63	4	8	51	2	1	8528	24	0	17.7349	 	0	2.69544e-11
UL	63	5	7	1	1	1	1640	26	0	20.7369 	0	1.12276e-07
DL	63	5	8	45	2	1	65349	24	0	15.7822	 	1	1
UL	63	6	6	1	1	1	1776	28	1	20.2444 	0	0
DL	63	6	14	1	2	1	865	18	0	17.7016	 	0	0
UL	63	7	1	1	1	1	1776	28	1	20.2444 	0	0
DL	63	7	8	94	2	1	5440	24	0	17.7016	 	0	4.73509e-10
UL	63	8	14	1	1	1	1640	26	0	20.6288 	0	1.42729e-07
DL	63	8	15	94	2	1	5440	24	0	11.5276	 	1	1
DL	63	9	7	39	2	1	49082	22	0	11.5276	 	1	1
DL	63	9	46	45	2	1	65349	24	1	17.6564	 	0	0
DL	63	9	91	53	2	1	1167	22	0	17.6564	 	0	0
DL	64	0	7	75	2	1	43382	24	0	17.6564	 	0	1.87617e-07
UL	64	1	7	1	1	1	1640	26	0	20.8841 	0	0
DL	64	1	8	70	2	1	36122	24	0	10.5678	 	1	1
UL	64	2	7	1	1	1	1640	26	0	19.8835 	0	3.54302e-05
DL	64	2	9	86	2	1	1070	16	0	10.942	 	0	7.77156e-15
DL	64	2	95	94	2	1	5440	24	1	10.942	 	0	0
DL	64	3	7	33	2	1	47922	24	0	17.7065	 	0	1.18399e-09
DL	64	3	40	39	2	1	49082	22	1	17.7065	 	0	0
UL	64	4	7	1	1	1	1640	26	0	22.0178 	0	7.57474e-11
DL	64	4	8	56	2	1	15788	24	0	11.237	 	1	1
UL	64	5	7	1	1	1	1640	26	0	20.7177 	0	8.81305e-08
