time srcImsi targetImsi bsr depth
161100000 1 4294967294 0 1
161200000 0 1 0 0
161200000 1 4294967294 0 1
161200000 0 1 0 0
161200000 1 4294967294 0 1
161300000 0 1 0 0
161300000 1 4294967294 0 1
161300000 0 1 0 0
161300000 1 4294967294 0 1
161400000 0 1 0 0
161400000 1 4294967294 0 1
161400000 0 1 0 0
161400000 1 4294967294 0 1
161500000 0 1 0 0
161500000 1 4294967294 0 1
161500000 0 1 0 0
161500000 1 4294967294 0 1
161600000 0 1 0 0
161600000 1 4294967294 0 1
161600000 0 1 0 0
161600000 1 4294967294 0 1
161700000 0 1 0 0
161700000 1 4294967294 0 1
161700000 0 1 0 0
161700000 1 4294967294 0 1
161800000 0 1 0 0
161800000 1 4294967294 0 1
161800000 0 1 0 0
161800000 1 4294967294 0 1
161900000 0 1 0 0
161900000 1 4294967294 0 1
161900000 0 1 0 0
161900000 1 4294967294 0 1
162000000 0 1 0 0
162000000 1 4294967294 0 1
162000000 0 1 0 0
162000000 1 4294967294 0 1
162100000 0 1 0 0
162100000 1 4294967294 0 1
162100000 0 1 0 0
162100000 1 4294967294 0 1
162200000 0 1 0 0
162200000 1 4294967294 0 1
162200000 0 1 0 0
162200000 1 4294967294 0 1
162300000 0 1 0 0
162300000 1 4294967294 0 1
162300000 0 1 0 0
162300000 1 4294967294 0 1
162400000 0 1 0 0
162400000 1 4294967294 0 1
162400000 0 1 0 0
162400000 1 4294967294 0 1
162500000 0 1 0 0
162500000 1 4294967294 0 1
162500000 0 1 0 0
162500000 1 4294967294 0 1
162600000 0 1 0 0
162600000 1 4294967294 0 1
162600000 0 1 0 0
162600000 1 4294967294 0 1
162700000 0 1 0 0
162700000 1 4294967294 0 1
162700000 0 1 0 0
162700000 1 4294967294 0 1
162800000 0 1 0 0
162800000 1 4294967294 0 1
162800000 0 1 0 0
162800000 1 4294967294 0 1
162900000 0 1 0 0
162900000 1 4294967294 0 1
162900000 0 1 0 0
162900000 1 4294967294 0 1
163000000 0 1 0 0
163000000 1 4294967294 0 1
163000000 0 1 0 0
163000000 1 4294967294 0 1
163100000 0 1 0 0
163100000 1 4294967294 0 1
163100000 0 1 0 0
163100000 1 4294967294 0 1
163200000 0 1 0 0
163200000 1 4294967294 0 1
163200000 0 1 0 0
163200000 1 4294967294 0 1
163300000 0 1 0 0
163300000 1 4294967294 0 1
163300000 0 1 0 0
163300000 1 4294967294 0 1
163400000 0 1 0 0
163400000 1 4294967294 0 1
163400000 0 1 0 0
163400000 1 4294967294 0 1
163500000 0 1 0 0
163500000 1 4294967294 0 1
163500000 0 1 0 0
163500000 1 4294967294 0 1
163600000 0 1 0 0
163600000 1 4294967294 0 1
163600000 0 1 0 0
163600000 1 4294967294 0 1
163700000 0 1 0 0
163700000 1 4294967294 0 1
163700000 0 1 0 0
163700000 1 4294967294 0 1
163800000 0 1 0 0
163800000 1 4294967294 0 1
163800000 0 1 0 0
163800000 1 4294967294 0 1
163900000 0 1 0 0
163900000 1 4294967294 0 1
163900000 0 1 0 0
163900000 1 4294967294 0 1
164000000 0 1 0 0
164000000 1 4294967294 0 1
164000000 0 1 0 0
164000000 1 4294967294 0 1
164100000 0 1 0 0
164100000 1 4294967294 0 1
164100000 0 1 0 0
164100000 1 4294967294 0 1
164200000 0 1 0 0
164200000 1 4294967294 0 1
164200000 0 1 0 0
164200000 1 4294967294 0 1
164300000 0 1 0 0
164300000 1 4294967294 0 1
164300000 0 1 0 0
164300000 1 4294967294 0 1
164400000 0 1 0 0
164400000 1 4294967294 0 1
164400000 0 1 0 0
164400000 1 4294967294 0 1
164500000 0 1 0 0
164500000 1 4294967294 0 1
164500000 0 1 0 0
164500000 1 4294967294 0 1
164600000 0 1 0 0
164600000 1 4294967294 0 1
164600000 0 1 0 0
164600000 1 4294967294 0 1
164700000 0 1 0 0
164700000 1 4294967294 0 1
164700000 0 1 0 0
164700000 1 4294967294 0 1
164800000 0 1 0 0
164800000 1 4294967294 0 1
164800000 0 1 0 0
164800000 1 4294967294 0 1
164900000 0 1 0 0
164900000 1 4294967294 0 1
164900000 0 1 0 0
164900000 1 4294967294 0 1
165000000 0 1 0 0
165000000 1 4294967294 0 1
165000000 0 1 0 0
165000000 1 4294967294 0 1
165100000 0 1 0 0
165100000 1 4294967294 0 1
165100000 0 1 0 0
165100000 1 4294967294 0 1
165200000 0 1 0 0
165200000 1 4294967294 0 1
165200000 0 1 0 0
165200000 1 4294967294 0 1
165300000 0 1 0 0
165300000 1 4294967294 0 1
165300000 0 1 0 0
165300000 1 4294967294 0 1
165400000 0 1 0 0
165400000 1 4294967294 0 1
165400000 0 1 0 0
165400000 1 4294967294 0 1
165500000 0 1 0 0
165500000 1 4294967294 0 1
165500000 0 1 0 0
165500000 1 4294967294 0 1
165600000 0 1 0 0
165600000 1 4294967294 0 1
165600000 0 1 0 0
165600000 1 4294967294 0 1
165700000 0 1 0 0
165700000 1 4294967294 0 1
165700000 0 1 0 0
165700000 1 4294967294 0 1
165800000 0 1 0 0
165800000 1 4294967294 0 1
165800000 0 1 0 0
165800000 1 4294967294 0 1
165900000 0 1 0 0
165900000 1 4294967294 0 1
165900000 0 1 0 0
165900000 1 4294967294 0 1
166000000 0 1 0 0
166000000 1 4294967294 0 1
166000000 0 1 0 0
166000000 1 4294967294 0 1
166100000 0 1 0 0
166100000 1 4294967294 0 1
166100000 0 1 0 0
166100000 1 4294967294 0 1
166200000 0 1 0 0
166200000 1 4294967294 0 1
166200000 0 1 0 0
166200000 1 4294967294 0 1
166300000 0 1 0 0
166300000 1 4294967294 0 1
166300000 0 1 0 0
166300000 1 4294967294 0 1
166400000 0 1 0 0
166400000 1 4294967294 0 1
166400000 0 1 0 0
166400000 1 4294967294 0 1
