	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	515	6	7	5	2	1	8903	28	0	46.3234	 	0	0
DL	515	6	12	5	2	2	8903	28	0	28.6008	 	0	0
DL	515	6	17	5	2	3	8903	28	0	35.1259	 	0	0
DL	515	7	17	6	2	4	1698	8	0	4.77041	 	0	0
DL	515	8	1	17	2	4	4823	8	0	2.33377	 	1	0.567298
DL	515	8	18	1	2	1	1776	28	0	38.9827	 	0	0
DL	515	8	19	1	2	2	1776	28	0	32.6653	 	0	0
DL	515	8	21	1	2	3	1776	28	0	45.4769	 	0	0
DL	515	9	18	5	2	4	1416	8	0	2.33377	 	0	0.212856
UL	516	0	1	1	1	1	768	16	0	17.6492 	0	0
DL	516	0	2	1	2	1	1776	28	0	38.9827	 	0	0
DL	516	0	4	1	2	2	1776	28	0	32.6653	 	0	0
DL	516	0	5	1	2	3	1776	28	0	45.4769	 	0	0
DL	516	0	6	14	2	4	3970	8	0	2.33377	 	0	0.51229
DL	516	2	1	1	2	1	1776	28	0	38.9827	 	0	0
DL	516	2	2	1	2	2	1776	28	0	32.6653	 	0	0
DL	516	2	3	1	2	3	1776	28	0	45.4769	 	0	0
DL	516	2	4	6	2	4	1157	6	0	2.33377	 	0	0
DL	516	4	1	17	2	4	4823	8	1	2.33377	 	0	0
DL	516	4	18	1	2	1	1776	28	0	38.9827	 	0	0
DL	516	4	19	1	2	2	1776	28	0	32.6653	 	0	0
DL	516	4	20	1	2	3	1776	28	0	45.4769	 	0	0
DL	516	4	21	2	2	4	385	6	0	2.33377	 	0	0
DL	516	5	6	4	2	4	768	6	0	2.33377	 	0	0
DL	516	6	1	6	2	4	1157	6	0	2.33377	 	0	0
DL	516	6	7	1	2	1	1776	28	0	38.9827	 	0	0
DL	516	6	8	1	2	2	1776	28	0	32.6653	 	0	0
DL	516	6	9	1	2	3	1776	28	0	45.4769	 	0	0
DL	516	8	1	1	2	1	1776	28	0	45.3437	 	0	0
DL	516	8	2	1	2	2	1776	28	0	31.352	 	0	0
DL	516	8	3	1	2	3	1776	28	0	35.2661	 	0	0
DL	516	8	4	6	2	4	1157	6	0	5.0485	 	0	0
DL	517	0	1	1	2	1	1776	28	0	45.3437	 	0	0
DL	517	0	2	1	2	2	1776	28	0	31.352	 	0	0
DL	517	0	4	1	2	3	1776	28	0	35.2661	 	0	0
DL	517	0	6	2	2	4	385	6	0	5.0485	 	0	0
DL	517	1	6	4	2	4	768	6	0	5.0485	 	0	0
UL	517	2	1	1	1	1	1449	24	0	16.4485 	1	0.998082
DL	517	2	2	2	2	4	768	10	0	5.0485	 	0	7.77156e-16
DL	517	2	4	1	2	1	1776	28	0	45.3437	 	0	0
DL	517	2	6	1	2	2	1776	28	0	31.352	 	0	0
DL	517	2	7	1	2	3	1776	28	0	35.2661	 	0	0
DL	517	3	6	1	2	4	385	10	0	5.0485	 	0	5.30339e-08
DL	517	4	1	2	2	4	768	10	0	5.0485	 	0	7.77156e-16
DL	517	4	3	1	2	1	1776	28	0	45.3437	 	0	0
DL	517	4	4	1	2	2	1776	28	0	31.352	 	0	0
DL	517	4	5	1	2	3	1776	28	0	35.2661	 	0	0
DL	517	5	6	1	2	4	385	10	0	5.0485	 	0	5.30339e-08
DL	517	6	1	2	2	4	768	10	0	5.0485	 	0	7.77156e-16
DL	517	6	3	1	2	1	1776	28	0	45.3437	 	0	0
DL	517	6	4	1	2	2	1776	28	0	31.352	 	0	0
DL	517	6	5	1	2	3	1776	28	0	35.2661	 	0	0
UL	517	7	1	1	1	1	1449	24	1	7.8562 	0	0
DL	517	7	7	1	2	4	385	10	0	5.0485	 	0	5.30339e-08
DL	517	8	1	2	2	4	768	10	0	5.64291	 	0	0
DL	517	8	3	1	2	1	1776	28	0	38.1031	 	0	0
DL	517	8	4	1	2	2	1776	28	0	34.0777	 	0	0
DL	517	8	5	1	2	3	1776	28	0	44.7338	 	0	0
DL	517	9	6	1	2	4	385	10	0	5.64291	 	0	0
UL	518	8	1	1	1	1	1351	23	0	7.68366 	1	1
DL	518	8	2	4	2	1	7120	28	0	45.5266	 	0	0
DL	518	8	6	1	2	2	1776	28	0	31.4206	 	0	0
DL	518	8	7	1	2	3	1776	28	0	36.2916	 	0	0
